file	name	form	trigger	field	calls	writes	reads	fetches	integrations	hash
Employees/OnUserInput__Employee_Status__Show_Hide_Employee_Term_D.dg	Show_Hide_Employee_Term_D	Employees	OnUserInput	Employee_Status		Employee_Term_Date	Employee_Status			ce5ee626
Employees/OnValidate__Validate_Employee_Phone_B.dg	Validate_Employee_Phone_B	Employees	OnValidate				Employee_Phone			b941d048
Encounter_PatientVisit/OnLoad__Default_Hide_On_Load.dg	Default_Hide_On_Load	Encounter_PatientVisit	OnLoad			Additional_Information;Advanced_Directives_Details;Billing_Branch;Cares_3008_Completion_Section;Charges_Section;Diversion_Tracking_Section;Edit_Needed;Employee_First_Name;Employee_Full_Name;Employee_Initials;Employee_Last_Name;Employee_Name_Title;Employee_Title;Equipment_Charge_Amount;Equipment_Charge_Details;Facility_Name;Facility_Phone;Facility_Room_Number;Files_Upload_Section;Final_Clinical_Note_Section;Goals_of_Care;Imaging_Orders_Section;Invoice_Status;Lab_Orders_Section;List_Patient_Allergies;List_Patient_Anticoagulants;Other_Charges_Amount;Other_Charges_Details;PVS_ID;PVS_Referral_ID;Partner_ICD_Codes;Partner_ID;Partner_ID_Stamp;Partner_POC_First_Name;Partner_POC_Last_Name;Partner_POC_Title;Patient_Address;Patient_DOB;Patient_Email;Patient_First_Name;Patient_Full_Name_1;Patient_Gender;Patient_Hospice_ID;Patient_Last_Name;Patient_MI;Patient_Phone;Patient_SSN;Provider_ICD_Print;Reason_for_Referral;Referral_Details_Section;Referral_ID;Referral_ID_Stamp;Referral_Link;Referral_Partner_Section;System_Fields_Section;Type_of_Diversion;Type_of_Entry;Type_of_Procedure_Section;Visit_Cost_Drivers_Section	Additional_Charges;Diversion_Tracking;Has_Referral_ID;Patient_Location			3b398ab1
Encounter_PatientVisit/OnLoad__Invoice_Status_Lock.dg	Invoice_Status_Lock	Encounter_PatientVisit	OnLoad			Additional_Charges;Additional_Information;Advanced_Directives_Details;After_Hours_Fee;Cares_3008_Completion_Date;Clinical_Note_File_Upload;Complexity_Charge;Complexity_Level;Diversion_Tracking;Edit_Needed;Equipment_Charge_Amount;Equipment_Charge_Details;Facility_Name;Facility_Phone;Facility_Room_Number;Final_Clinical_Note;General_Files_Upload;Goals_of_Care;Has_Referral_ID;Imaging_Order_Indication;Imaging_Ordered_Date;Imaging_Orders;Lab_Files_Upload;Lab_Order_Date;Lab_Order_Indication;Lab_Type_Orders;List_Patient_Allergies;List_Patient_Anticoagulants;Notes_3008;Other_Charges_Amount;Other_Charges_Details;PVS_File_Upload;Partner_ICD_Codes;Patient_Address;Patient_DOB;Patient_Email;Patient_First_Name;Patient_Full_Name_1;Patient_Full_Name_2;Patient_Gender;Patient_Hospice_ID;Patient_Last_Name;Patient_Location;Patient_MI;Patient_Phone;Patient_SSN;Provider_ICD10_Codes_Link;Reason_for_Referral;Referral_Link;Super_Stat_Fee;Type_of_Diversion;Type_of_Entry;Type_of_Procedures;Upload_Imaging_Order_Files;Visit_Completion_Date;Was_3008_Completed	Clinical_Note_Type;Invoice_Status			cf17e3f9
Encounter_PatientVisit/OnLoad__Pre_fills_provider_sectio.dg	Pre_fills_provider_sectio	Encounter_PatientVisit	OnLoad			Employee_Email;Employee_First_Name;Employee_Full_Name;Employee_Initials;Employee_Last_Name;Employee_Name_Title;Employee_Title		Employees		88286e97
Encounter_PatientVisit/OnSuccess__PVS_Stamp_Generator.dg	PVS_ID_Stamp_Generator	Encounter_PatientVisit	OnSuccess			PVS_ID;PVS_Referral_ID	Employee_Initials;Has_Referral_ID;Referral_ID	Sequence_Tracker		a2fbaed6
Encounter_PatientVisit/OnUserInput__Additional_Charges__Show_Hide.dg	Additional_Charges_Show_H1	Encounter_PatientVisit	OnUserInput	Additional_Charges		After_Hours_Fee;Equipment_Charge_Amount;Equipment_Charge_Details;Other_Charges_Amount;Other_Charges_Details;Super_Stat_Fee	Additional_Charges;Billing_Branch	Partner_Rates		43bdd7e0
Encounter_PatientVisit/OnUserInput__Billing_Branch__Branch_Sets_Charge.dg	Branch_Sets_Charge	Encounter_PatientVisit	OnUserInput	Billing_Branch		Complexity_Charge	Billing_Branch;Complexity_Level	Partner_Rates		0b0d37b4
Encounter_PatientVisit/OnUserInput__Complexity_Level__Complexity_Sets_Charge.dg	Complexity_Sets_Charge	Encounter_PatientVisit	OnUserInput	Complexity_Level		Complexity_Charge	Billing_Branch;Complexity_Level	Partner_Locations;Partner_Rates		a727f346
Encounter_PatientVisit/OnUserInput__Diversion_Tracking__Show_Hide.dg	Diversion_Type_Show_Hide	Encounter_PatientVisit	OnUserInput	Diversion_Tracking		Type_of_Diversion	Diversion_Tracking			73f3dd85
